,close,high,low,open,volume,symbol_id
count,1998.0,1998.0,1998.0,1998.0,1998.0,1998.0
mean,28547.141052410007,29022.12009052404,27992.92766167146,28511.486147687763,22449600352.817535,1.0
std,40492.70087421492,41113.90741227694,39771.47609987697,40451.65715184051,23818787090.38709,0.8167009861333135
min,0.07795,0.07884,0.07412,0.07795,14369151.85233,0.0
25%,0.22924250000000002,0.237875,0.21887,0.229235,412993425.10158753,0.0
50%,3013.42724609375,3105.9765625,2924.5233154296875,3012.154541015625,17043689544.5,1.0
75%,63378.580078125,64494.1435546875,62238.1689453125,63333.4140625,34928919830.75,2.0
max,124752.53125,126198.0703125,123196.046875,124752.140625,181746419401.0,2.0
